"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Austria","AUT","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","0.167252438113152","0.223463810838664","0.143561762590865","0.136981314249433","0.123347760528861","0.128322440736631","0.118675182158938","0.102560091292014","0.183857641432752","0.166800654153772","1.15545074236302","1.20723576153667","1.1143974843882","1.4921696389585","19.6907714874944","34.6450659953912","4.42239210206453","2.43879725520721","3.45948085857389","4.31028547283455","5.39367018168692","4.35758004453578","5.67299226234153","8.27288459118291","5.43736370155398","4.89927434171365","3.70296968632712","3.03518927524375","4.58903167117751","8.6007761174308","13.7074340827577","24.6729463920836","33.1808883613744","22.7142229681161","12.8210678218568","12.4500915546993","8.98522081356751","5.7741683288191","6.16657281334254","6.48898448570581","8.30768243153386","6.70792852389328","9.58318148120244","8.66650692105431","7.52998997790185","9.14000534131726","","",
"Azerbaijan","AZE","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","0.877018699688479","0.929495018998035","0.748431563951464","0.714098574218241","0.907884497108368","0.609109970929502","0.593163267871076","1.12315500024802","1.50894245827669","1.73081959459759","2.56339920807545","4.0004236920195","5.38808668783512","5.07581361415474","5.17176066238996","3.54835044887964","3.21172766219847","3.30979866570491","4.69752832238485","5.30548877421922","5.27598956905607","7.83570476244254","11.2648013547433","22.8063585153368","19.579138586053","16.2945095249588","15.9562051334832","14.7717309040888","13.0014968738352","20.3418735680943","27.6169673631704","33.1292614311918","49.1736727392013","36.8654601312627","25.501842999107","22.3127130156492","19.7294919324986","20.3415991488978","22.0982820000078","20.0317002391446","","","","","","","","",
"Benin","BEN","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0446233136901683","0.318934767279679","0.395521859975967","1.8367093939244","1.17972463534547","2.01822324867723","1.88878337455564","1.75292060733682","0.483596522240567","","","0.381055977917734","0.296012799652332","0.329285738371988","0.889113442586455","1.59518673981862","2.28272901837917","4.19641630239385","1.72922256153056","1.08214249906229","0.823998159437013","9.14445465664375","6.97784985540496","5.77629639970259","9.02216498675104","5.02276531564797","3.73731064207678","3.99039110860577","","",
"Bulgaria","BGR","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0203097635775621","0.0226864535768645","0.0221151200499813","0.0788126031313055","0.382904882940493","0.972054371514254","0.0425615431034125","0.0310282577205663","0.495648311408219","0.994327647314639","0.54958717674524","1.75148891592135","2.6163886211384","5.43406180077082","15.2686038353439","2.41342356801121","0.936282764927797","0.74328818320579","0.55748859844294","0.666787543799054","1.57509515232032","","","","","","0.247301154454972","0.301955735228469","","",
"Bahrain","BHR","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87738566521517","1.81384007998803","2.89583738626541","7.55212900202618","9.32100203799299","6.726918555853","2.70818423253562","2.13342024562599","2.24109826012708","2.40843777691859","2.36985717348305","4.39790947730271","7.46359289372056","4.80773124712379","8.10403235650078","2.03276469981228","1.11833300752261","0.542558964879852","0.905386213493817","1.85805126997983","2.14989270164046","0.94696926091902","1.03277300106935","1.58708514359543","2.56571926580314","1.96549749837061","1.71270664119989","","",
"Bahamas, The","BHS","Stocks traded, total value (% of GDP)","CM.MKT.TRAD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
